lat,lon,cloud_amount
-82.5,11.489362,18.5
-82.5,19.148937,13.700000000000001
-82.5,26.80851,13.700000000000001
-82.5,34.468086,10.5
-82.5,42.127655,6.2
-82.5,49.78723,3.5
-82.5,57.446808,1.8
-82.5,65.106384,0.9
-82.5,72.76596,1.1
-82.5,80.42553,2.4000000000000004
-82.5,88.085106,2.6
-82.5,95.74468,2.9000000000000004
-82.5,103.40426,3.8000000000000003
-82.5,111.06383,4.6000000000000005
-82.5,118.723404,6.6000000000000005
-82.5,126.38298,9.3
-82.5,134.04256,11.600000000000001
-82.5,141.70213,13.3
-82.5,149.36171,19.200000000000003
-82.5,157.02127,72.5
-82.5,164.68085,88.0
-82.5,172.34042,79.60000000000001
-82.5,180.0,78.30000000000001
-82.5,187.65958,79.30000000000001
-82.5,195.31915,75.8
-82.5,202.97873,77.4
-82.5,210.6383,57.300000000000004
-82.5,218.29787,53.2
-82.5,225.95744,49.7
-82.5,233.61702,49.400000000000006
-82.5,241.2766,47.400000000000006
-82.5,248.93617,47.800000000000004
-82.5,256.59576,37.0
-82.5,264.2553,33.4
-82.5,271.91492,34.9
-82.5,279.57446,35.800000000000004
-82.5,287.23407,41.300000000000004
-82.5,294.89362,50.800000000000004
-82.5,302.55322,64.10000000000001
-82.5,310.21277,66.3
-82.5,317.8723,59.2
-82.5,325.53192,55.5
-82.5,333.19147,49.6
-82.5,340.85107,44.1
-82.5,348.51062,30.5
-82.5,356.17023,25.3
-81.5,3.3962264,22.900000000000002
-81.5,10.188679,18.5
-81.5,16.981133,15.3
-81.5,23.773586,13.0
-81.5,30.566038,9.0
-81.5,37.35849,6.2
-81.5,44.150948,3.9000000000000004
-81.5,50.943398,2.1
-81.5,57.735847,1.0
-81.5,64.528305,0.4
-81.5,71.320755,0.6000000000000001
-81.5,78.113205,1.2000000000000002
-81.5,84.90566,1.3
-81.5,91.69811,1.6
-81.5,98.49056,2.9000000000000004
-81.5,105.28302,3.0
-81.5,112.07547,4.6000000000000005
-81.5,118.86792,6.1000000000000005
-81.5,125.660385,7.1000000000000005
-81.5,132.45284,9.700000000000001
-81.5,139.24529,13.0
-81.5,146.03773,14.100000000000001
-81.5,152.83018,39.5
-81.5,159.62263,82.10000000000001
-81.5,166.4151,82.2
-81.5,173.20755,78.80000000000001
-81.5,180.0,75.4
-81.5,186.79245,71.10000000000001
-81.5,193.5849,70.4
-81.5,200.37735,76.0
-81.5,207.16982,61.6
-81.5,213.96227,54.7
-81.5,220.75471,52.300000000000004
-81.5,227.54716,49.400000000000006
-81.5,234.33961,44.400000000000006
-81.5,241.13208,44.0
-81.5,247.92453,43.7
-81.5,254.71698,33.300000000000004
-81.5,261.50946,33.2
-81.5,268.30188,33.6
-81.5,275.09436,41.7
-81.5,281.88678,42.900000000000006
-81.5,288.67926,46.0
-81.5,295.47168,53.5
-81.5,302.26416,59.0
-81.5,309.05658,61.900000000000006
-81.5,315.84906,68.10000000000001
-81.5,322.64148,57.0
-81.5,329.43396,52.7
-81.5,336.22644,53.1
-81.5,343.01886,45.300000000000004
-81.5,349.81134,29.0
-81.5,356.60376,28.0
